instanceID,ts_start,ts_end,duration,status,code,message,comment,contractCategory,iecCategory
LLY_WTG12,02-Jan-2019 10:53:10,02-Jan-2019 10:56:56,00:03:46,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,04-Jan-2019 10:35:42,04-Jan-2019 14:27:43,03:52:01,stop,22,Remote manual stop,Remote stop for isolation of T26 Transformer,HV - Internal Unplanned outage,<undefined>
LLY_WTG12,04-Jan-2019 11:15:56,04-Jan-2019 14:19:14,03:03:18,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,07-Jan-2019 13:00:11,07-Jan-2019 13:01:38,00:01:27,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,09-Jan-2019 09:17:42,09-Jan-2019 13:40:25,04:22:43,stop,22,Remote manual stop,Stopped for TX Replacement on T26,HV - Internal Unplanned outage,<undefined>
LLY_WTG12,09-Jan-2019 10:31:48,09-Jan-2019 12:51:51,02:20:03,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,09-Jan-2019 13:18:59,09-Jan-2019 13:19:38,00:00:39,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,10-Jan-2019 12:58:27,10-Jan-2019 13:10:39,00:12:12,stop,94,Stopped untwisting cables,,Cable Unwind,<undefined>
LLY_WTG12,14-Jan-2019 23:15:27,14-Jan-2019 23:40:51,00:25:24,stop,52,Frequency on mains too high,,Grid - External Unplanned outage,<undefined>
LLY_WTG12,15-Jan-2019 12:30:14,15-Jan-2019 12:46:20,00:16:06,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,15-Jan-2019 12:57:52,15-Jan-2019 13:00:09,00:02:17,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,16-Jan-2019 12:42:30,16-Jan-2019 12:46:21,00:03:51,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,16-Jan-2019 13:19:11,16-Jan-2019 13:20:36,00:01:25,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,18-Jan-2019 01:42:42,18-Jan-2019 10:27:01,08:44:19,stop,31,Gear oil cold or superheated,,Unscheduled Maintenance - Gearbox,<undefined>
LLY_WTG12,18-Jan-2019 10:17:28,18-Jan-2019 13:40:54,03:23:26,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,18-Jan-2019 13:11:01,18-Jan-2019 13:13:26,00:02:25,stop,21,Manual stop,Gear Oil Superheated,Unscheduled Maintenance - Gearbox,<undefined>
LLY_WTG12,18-Jan-2019 13:42:19,18-Jan-2019 14:00:26,00:18:07,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,18-Jan-2019 13:58:02,18-Jan-2019 14:00:15,00:02:13,stop,21,Manual stop,Gearoil cold/superheated fault - Confirmed via energy export that turbine was back in tun at 2pm - Stop ended to reflect this,Unscheduled Maintenance - Gearbox,<undefined>
LLY_WTG12,19-Jan-2019 22:34:07,19-Jan-2019 22:59:29,00:25:22,stop,51,Low lower voltage exceeded,,Grid - External Unplanned outage,<undefined>
LLY_WTG12,21-Jan-2019 11:38:56,21-Jan-2019 13:10:40,01:31:44,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,23-Jan-2019 12:39:47,23-Jan-2019 13:56:34,01:16:47,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,23-Jan-2019 17:41:27,23-Jan-2019 17:53:40,00:12:13,stop,94,Stopped untwisting cables,,Cable Unwind,<undefined>
LLY_WTG12,07-Feb-2019 11:06:53,07-Feb-2019 11:07:20,00:00:27,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,21-Feb-2019 10:25:49,21-Feb-2019 10:42:19,00:16:30,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,21-Feb-2019 13:38:47,21-Feb-2019 13:39:13,00:00:26,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,04-Mar-2019 11:51:05,04-Mar-2019 14:02:44,02:11:39,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,15-Mar-2019 13:06:57,15-Mar-2019 13:08:22,00:01:25,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,15-Mar-2019 13:30:04,15-Mar-2019 13:30:57,00:00:53,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,18-Mar-2019 14:44:31,18-Mar-2019 14:55:20,00:10:49,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,18-Mar-2019 15:03:57,18-Mar-2019 15:20:53,00:16:56,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,19-Mar-2019 09:55:48,19-Mar-2019 15:28:38,05:32:50,stop,22,Remote manual stop,Transformer Inspections,HV - Internal Inspection,<undefined>
LLY_WTG12,19-Mar-2019 10:02:52,19-Mar-2019 14:55:46,04:52:54,warning,50001,No communication  ,Transformer Inspections,HV - Internal Inspection,<undefined>
LLY_WTG12,20-Mar-2019 12:52:31,20-Mar-2019 16:03:53,03:11:22,stop,22,Remote manual stop,HV inspections-internal planned,HV - Internal Planned outage,<undefined>
LLY_WTG12,20-Mar-2019 12:57:09,20-Mar-2019 15:54:30,02:57:21,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,21-Mar-2019 11:56:31,21-Mar-2019 12:30:37,00:34:06,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,21-Mar-2019 14:16:52,21-Mar-2019 14:34:22,00:17:30,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,21-Mar-2019 15:01:36,21-Mar-2019 15:03:59,00:02:23,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,22-Mar-2019 10:39:47,22-Mar-2019 10:43:49,00:04:02,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,23-Mar-2019 15:14:07,23-Mar-2019 15:26:28,00:12:21,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,23-Mar-2019 15:56:46,23-Mar-2019 16:02:58,00:06:12,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,26-Mar-2019 13:23:20,26-Mar-2019 13:24:18,00:00:58,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,11-Apr-2019 07:20:00,11-Apr-2019 09:09:19,01:49:19,communication,9997,Data communication unavailable,,<undefined>,Information Unavailable
LLY_WTG12,16-Apr-2019 12:00:04,16-Apr-2019 12:06:39,00:06:35,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,17-Apr-2019 09:32:32,17-Apr-2019 09:41:31,00:08:59,warning,50001,No communication  ,,<undefined>,<undefined>
